"Gene","Subtype","logFC","adj.P.Val","Regulation"
"SUBTYPE","HER2",1,0,"Up"
"CASP3","HER2",1.6844341992028,3.14892866081331e-20,"Up"
"CDK4","HER2",1.83963985007925,2.05754618741895e-11,"Up"
"BAX","HER2",1.68419562475058,4.5849579418623e-11,"Up"
"BCL.2","HER2",0.313676734687645,1.23584412433205e-09,"Up"
"TP53","HER2",0.209715436862471,2.38421789330849e-05,"Up"
"NA","HER2",NA,NA,NA
"SUBTYPE","Luminal A",2,0,"Up"
"CASP3","Luminal A",1.18836808240439,4.2533347502528e-11,"Up"
"BCL.2","Luminal A",0.276944935981192,2.8144097884675e-07,"Up"
"CDK4","Luminal A",1.10900624356113,5.94730127986737e-05,"Up"
"BAX","Luminal A",0.962069231200628,0.000173560660251071,"Up"
"TP53","Luminal A",0.145947115962382,0.00430103355151308,"Up"
"CCND1","Luminal A",1.51993698198746,0.00430103355151308,"Up"
"NA","Luminal A",NA,NA,NA
"SUBTYPE","Luminal B",3,0,"Up"
"CASP3","Luminal B",1.64978852111818,1.08550727795652e-18,"Up"
"BCL.2","Luminal B",0.306651104669696,1.25955377363422e-08,"Up"
"BAX","Luminal B",1.43367539684546,3.63859496763987e-08,"Up"
"CDK4","Luminal B",1.35597547058182,6.85065156713437e-07,"Up"
"TP53","Luminal B",0.243568586839392,2.25628557787016e-06,"Up"
"CCND1","Luminal B",1.82179554782424,0.000625771386073793,"Up"
"NA","Luminal B",NA,NA,NA
"SUBTYPE","TNBC",3.99999999999998,0,"Up"
"CASP3","TNBC",1.76004640243637,1.1892773378099e-22,"Up"
"BAX","TNBC",2.19722626001819,1.98141895222366e-17,"Up"
"BCL.2","TNBC",0.397927724036367,1.44061046826109e-14,"Up"
"CDK4","TNBC",1.79474345536365,8.69591290971271e-12,"Up"
"NA","TNBC",NA,NA,NA
